particulas/s,N,opt,compiler,runs,GFLOPS,time,l1 misses,dtlb misses
31.650,500,-O1 -ffast-math -ftree-vectorize -funroll-loops,icc,10,50024375546,15.801,10564790,96397
31.456,500,-O1 -ffast-math -ftree-vectorize -funroll-loops,icc,10,50033707699,15.898,35801035,98422
31.318,500,-O1 -ffast-math -ftree-vectorize -funroll-loops,icc,10,50049439418,15.968,11164927,93164
33.287,500,-O1 -ffast-math -ftree-vectorize -funroll-loops,icc,10,50052315169,15.023,10752636,87604
32.991,500,-O1 -ffast-math -ftree-vectorize -funroll-loops,icc,10,50008497842,15.159,10644770,88986
33.242,500,-O1 -ffast-math -ftree-vectorize -funroll-loops,icc,10,50022865609,15.044,12380802,101278
24.568,864,-O1 -ffast-math -ftree-vectorize -funroll-loops,icc,5,131771197726,35.171,46184464,190347
24.571,864,-O1 -ffast-math -ftree-vectorize -funroll-loops,icc,5,131762612565,35.167,44944863,187766
26.144,864,-O1 -ffast-math -ftree-vectorize -funroll-loops,icc,5,131773293284,33.051,44209291,179223
26.035,864,-O1 -ffast-math -ftree-vectorize -funroll-loops,icc,5,131794860831,33.190,43747747,184463
26.101,864,-O1 -ffast-math -ftree-vectorize -funroll-loops,icc,5,131771051864,33.107,47471966,179472
755.718,4,-O1 -ffast-math -ftree-vectorize -funroll-loops,clang,30,7473006,0.007,145452,
769.188,4,-O1 -ffast-math -ftree-vectorize -funroll-loops,clang,30,7386691,0.007,91667,
782.081,4,-O1 -ffast-math -ftree-vectorize -funroll-loops,clang,30,5703522,0.006,87578,1832
763.293,4,-O1 -ffast-math -ftree-vectorize -funroll-loops,clang,30,5564970,0.007,89659,1122
764.083,4,-O1 -ffast-math -ftree-vectorize -funroll-loops,clang,30,8342025,0.006,91340,
778.921,4,-O1 -ffast-math -ftree-vectorize -funroll-loops,clang,30,4663313,0.006,89876,1073
786.139,4,-O1 -ffast-math -ftree-vectorize -funroll-loops,clang,30,7635005,0.006,126617,
750.729,4,-O1 -ffast-math -ftree-vectorize -funroll-loops,clang,30,7652959,0.007,99104,
755.718,4,-O1 -ffast-math -ftree-vectorize -funroll-loops,clang,30,0,0.007,95538,682
783.097,4,-O1 -ffast-math -ftree-vectorize -funroll-loops,clang,30,8139514,0.006,97725,
776.362,4,-O1 -ffast-math -ftree-vectorize -funroll-loops,clang,30,0,0.006,100483,426
726.984,4,-O1 -ffast-math -ftree-vectorize -funroll-loops,clang,30,7162758,0.007,209873,
786.550,4,-O1 -ffast-math -ftree-vectorize -funroll-loops,clang,30,4565318,0.006,90536,767
771.457,4,-O1 -ffast-math -ftree-vectorize -funroll-loops,clang,30,7400186,0.007,96040,
783.648,4,-O1 -ffast-math -ftree-vectorize -funroll-loops,clang,30,3850265,0.006,90984,669
784.720,4,-O1 -ffast-math -ftree-vectorize -funroll-loops,clang,30,4700554,0.006,89412,988
763.651,4,-O1 -ffast-math -ftree-vectorize -funroll-loops,clang,30,8308111,0.006,93733,
779.713,4,-O1 -ffast-math -ftree-vectorize -funroll-loops,clang,30,6539349,0.006,89165,4784
779.009,4,-O1 -ffast-math -ftree-vectorize -funroll-loops,clang,30,5945631,0.006,88536,1260
773.875,4,-O1 -ffast-math -ftree-vectorize -funroll-loops,clang,30,8089194,0.007,96666,
764.754,4,-O1 -ffast-math -ftree-vectorize -funroll-loops,clang,30,4084404,0.006,90585,903
777.519,4,-O1 -ffast-math -ftree-vectorize -funroll-loops,clang,30,4469820,0.006,90398,1012
767.648,4,-O1 -ffast-math -ftree-vectorize -funroll-loops,clang,30,2373822,0.006,95022,798
783.343,4,-O1 -ffast-math -ftree-vectorize -funroll-loops,clang,30,8160703,0.007,98094,
769.507,4,-O1 -ffast-math -ftree-vectorize -funroll-loops,clang,30,7779298,0.007,90030,
782.595,4,-O1 -ffast-math -ftree-vectorize -funroll-loops,clang,30,5926498,0.006,88681,2037
768.105,4,-O1 -ffast-math -ftree-vectorize -funroll-loops,clang,30,8326419,0.006,98436,
786.596,4,-O1 -ffast-math -ftree-vectorize -funroll-loops,clang,30,8142875,0.007,97161,
786.994,4,-O1 -ffast-math -ftree-vectorize -funroll-loops,clang,30,7571062,0.006,107404,
790.420,4,-O1 -ffast-math -ftree-vectorize -funroll-loops,clang,30,7180360,0.006,90274,
491.407,32,-O1 -ffast-math -ftree-vectorize -funroll-loops,clang,25,396276391,0.067,561978,2149
493.490,32,-O1 -ffast-math -ftree-vectorize -funroll-loops,clang,25,400590105,0.066,508831,2418
492.084,32,-O1 -ffast-math -ftree-vectorize -funroll-loops,clang,25,393427451,0.066,490223,2534
496.933,32,-O1 -ffast-math -ftree-vectorize -funroll-loops,clang,25,399079570,0.066,505181,2212
499.352,32,-O1 -ffast-math -ftree-vectorize -funroll-loops,clang,25,392076472,0.065,487121,2667
499.686,32,-O1 -ffast-math -ftree-vectorize -funroll-loops,clang,25,396402574,0.065,517139,2142
498.872,32,-O1 -ffast-math -ftree-vectorize -funroll-loops,clang,25,387426115,0.066,487858,2449
483.946,32,-O1 -ffast-math -ftree-vectorize -funroll-loops,clang,25,389837887,0.068,639396,2382
501.545,32,-O1 -ffast-math -ftree-vectorize -funroll-loops,clang,25,387068036,0.065,476445,2293
494.452,32,-O1 -ffast-math -ftree-vectorize -funroll-loops,clang,25,399845156,0.066,517058,2272
501.256,32,-O1 -ffast-math -ftree-vectorize -funroll-loops,clang,25,394785276,0.065,500466,2573
507.363,32,-O1 -ffast-math -ftree-vectorize -funroll-loops,clang,25,400239392,0.064,522620,2026
508.382,32,-O1 -ffast-math -ftree-vectorize -funroll-loops,clang,25,402657117,0.064,527420,2382
502.205,32,-O1 -ffast-math -ftree-vectorize -funroll-loops,clang,25,400337370,0.066,523170,2679
503.439,32,-O1 -ffast-math -ftree-vectorize -funroll-loops,clang,25,403376913,0.065,522300,2350
496.210,32,-O1 -ffast-math -ftree-vectorize -funroll-loops,clang,25,400961136,0.066,526137,2256
509.952,32,-O1 -ffast-math -ftree-vectorize -funroll-loops,clang,25,403324927,0.064,529468,2817
496.385,32,-O1 -ffast-math -ftree-vectorize -funroll-loops,clang,25,401945443,0.066,516173,2332
501.105,32,-O1 -ffast-math -ftree-vectorize -funroll-loops,clang,25,401536838,0.065,521145,2024
496.550,32,-O1 -ffast-math -ftree-vectorize -funroll-loops,clang,25,398542356,0.066,499763,2203
506.943,32,-O1 -ffast-math -ftree-vectorize -funroll-loops,clang,25,398635463,0.065,528650,2637
505.577,32,-O1 -ffast-math -ftree-vectorize -funroll-loops,clang,25,402048514,0.065,562267,2239
502.918,32,-O1 -ffast-math -ftree-vectorize -funroll-loops,clang,25,388460643,0.065,468006,3090
506.400,32,-O1 -ffast-math -ftree-vectorize -funroll-loops,clang,25,400141914,0.065,510792,2249
497.673,32,-O1 -ffast-math -ftree-vectorize -funroll-loops,clang,25,395679674,0.066,494012,2405
254.746,108,-O1 -ffast-math -ftree-vectorize -funroll-loops,clang,20,2971356275,0.426,1757447,12345
255.501,108,-O1 -ffast-math -ftree-vectorize -funroll-loops,clang,20,2966949106,0.424,1681613,10226
254.666,108,-O1 -ffast-math -ftree-vectorize -funroll-loops,clang,20,2964349226,0.426,1729369,11374
253.070,108,-O1 -ffast-math -ftree-vectorize -funroll-loops,clang,20,2961005781,0.428,1692846,11656
255.247,108,-O1 -ffast-math -ftree-vectorize -funroll-loops,clang,20,2969059746,0.425,1654656,10751
251.207,108,-O1 -ffast-math -ftree-vectorize -funroll-loops,clang,20,2960958249,0.432,1656186,10603
255.467,108,-O1 -ffast-math -ftree-vectorize -funroll-loops,clang,20,2967207191,0.424,1668124,11547
253.024,108,-O1 -ffast-math -ftree-vectorize -funroll-loops,clang,20,2964731874,0.428,1684698,11484
253.237,108,-O1 -ffast-math -ftree-vectorize -funroll-loops,clang,20,2969132715,0.428,1694934,11710
256.030,108,-O1 -ffast-math -ftree-vectorize -funroll-loops,clang,20,2965351171,0.423,1684660,11018
254.212,108,-O1 -ffast-math -ftree-vectorize -funroll-loops,clang,20,2966054867,0.426,1677844,11996
251.691,108,-O1 -ffast-math -ftree-vectorize -funroll-loops,clang,20,2972792351,0.431,1775458,12069
253.769,108,-O1 -ffast-math -ftree-vectorize -funroll-loops,clang,20,2969072540,0.427,1716094,11945
256.840,108,-O1 -ffast-math -ftree-vectorize -funroll-loops,clang,20,2963549579,0.422,1717772,11278
254.748,108,-O1 -ffast-math -ftree-vectorize -funroll-loops,clang,20,2968254887,0.425,1712692,11871
255.919,108,-O1 -ffast-math -ftree-vectorize -funroll-loops,clang,20,2967995298,0.424,1706018,11439
253.206,108,-O1 -ffast-math -ftree-vectorize -funroll-loops,clang,20,2966624284,0.428,2130661,12361
251.629,108,-O1 -ffast-math -ftree-vectorize -funroll-loops,clang,20,2960682353,0.431,1698576,12855
255.574,108,-O1 -ffast-math -ftree-vectorize -funroll-loops,clang,20,2963450156,0.424,1679290,12286
251.901,108,-O1 -ffast-math -ftree-vectorize -funroll-loops,clang,20,2956897323,0.430,1682637,14086
121.747,256,-O1 -ffast-math -ftree-vectorize -funroll-loops,clang,15,12261527023,2.105,4253154,29970
119.679,256,-O1 -ffast-math -ftree-vectorize -funroll-loops,clang,15,12256438094,2.141,4240511,31416
119.576,256,-O1 -ffast-math -ftree-vectorize -funroll-loops,clang,15,12237952501,2.143,5935029,31758
120.845,256,-O1 -ffast-math -ftree-vectorize -funroll-loops,clang,15,12251669906,2.120,4337540,30399
120.988,256,-O1 -ffast-math -ftree-vectorize -funroll-loops,clang,15,12255732985,2.118,4436232,31140
121.394,256,-O1 -ffast-math -ftree-vectorize -funroll-loops,clang,15,12294158051,2.111,4643501,29264
119.992,256,-O1 -ffast-math -ftree-vectorize -funroll-loops,clang,15,12252025437,2.135,4434448,29085
