particulas/s,N,opt,compiler,runs,threads num,GFLOPS,time,l1 misses,dtlb misses
371.858,2048,-O1 -ffast-math -ftree-vectorize -funroll-loops -fopenmp,clang,5,30,597575639826,5.513,3003392814,1257951
373.940,2048,-O1 -ffast-math -ftree-vectorize -funroll-loops -fopenmp,clang,5,30,598514302831,5.483,2986673873,1265288
370.729,2048,-O1 -ffast-math -ftree-vectorize -funroll-loops -fopenmp,clang,5,30,598245908136,5.530,2991396493,1270972
370.685,2048,-O1 -ffast-math -ftree-vectorize -funroll-loops -fopenmp,clang,5,30,598859612730,5.530,3094207317,1197323
323.686,2916,-O1 -ffast-math -ftree-vectorize -funroll-loops -fopenmp,clang,5,30,1193663885007,9.013,12605019363,769395
328.337,2916,-O1 -ffast-math -ftree-vectorize -funroll-loops -fopenmp,clang,5,30,1194110908726,8.888,12530650744,760345
330.620,2916,-O1 -ffast-math -ftree-vectorize -funroll-loops -fopenmp,clang,5,30,1192151455590,8.826,12559171405,783688
337.816,2916,-O1 -ffast-math -ftree-vectorize -funroll-loops -fopenmp,clang,5,30,1193734425258,8.639,12625563683,746726
328.287,2916,-O1 -ffast-math -ftree-vectorize -funroll-loops -fopenmp,clang,5,30,1191745118294,8.889,12309356201,799846
416.833,1372,-O1 -ffast-math -ftree-vectorize -funroll-loops -fopenmp,gcc,5,30,428062351926,3.295,1168284321,319656
418.269,1372,-O1 -ffast-math -ftree-vectorize -funroll-loops -fopenmp,gcc,5,30,428302698822,3.285,1286932698,354028
415.393,1372,-O1 -ffast-math -ftree-vectorize -funroll-loops -fopenmp,gcc,5,30,429101792242,3.308,1162775409,378517
412.820,1372,-O1 -ffast-math -ftree-vectorize -funroll-loops -fopenmp,gcc,5,30,429469761347,3.330,1168711308,316536
419.641,1372,-O1 -ffast-math -ftree-vectorize -funroll-loops -fopenmp,gcc,5,30,426952113242,3.274,1458212595,342196
389.272,2048,-O1 -ffast-math -ftree-vectorize -funroll-loops -fopenmp,gcc,5,30,937650739528,5.265,3173944970,1114120
386.701,2048,-O1 -ffast-math -ftree-vectorize -funroll-loops -fopenmp,gcc,5,30,935860931829,5.301,3193707925,1077555
386.736,2048,-O1 -ffast-math -ftree-vectorize -funroll-loops -fopenmp,gcc,5,30,938179021276,5.301,3167922259,1009587
388.908,2048,-O1 -ffast-math -ftree-vectorize -funroll-loops -fopenmp,gcc,5,30,939692842220,5.272,3166159555,1113461
388.430,2048,-O1 -ffast-math -ftree-vectorize -funroll-loops -fopenmp,gcc,5,30,939668671301,5.279,3177844111,1099124
348.112,2916,-O1 -ffast-math -ftree-vectorize -funroll-loops -fopenmp,gcc,5,30,1889837904301,8.381,12733745964,798136
349.644,2916,-O1 -ffast-math -ftree-vectorize -funroll-loops -fopenmp,gcc,5,30,1885342901352,8.346,12775250337,800036
347.091,2916,-O1 -ffast-math -ftree-vectorize -funroll-loops -fopenmp,gcc,5,30,1886600121628,8.407,12771945536,770125
348.934,2916,-O1 -ffast-math -ftree-vectorize -funroll-loops -fopenmp,gcc,5,30,1885485321120,8.364,12787472380,835315
350.560,2916,-O1 -ffast-math -ftree-vectorize -funroll-loops -fopenmp,gcc,5,30,1884058200465,8.325,12883124155,819421
221.640,1372,-O1 -ffast-math -ftree-vectorize -funroll-loops -fopenmp,icc,5,20,309111233217,6.194,1149099435,209955
220.359,1372,-O1 -ffast-math -ftree-vectorize -funroll-loops -fopenmp,icc,5,20,309980329846,6.231,1127180223,228158
219.869,1372,-O1 -ffast-math -ftree-vectorize -funroll-loops -fopenmp,icc,5,20,310059970974,6.245,1136012601,213812
218.957,1372,-O1 -ffast-math -ftree-vectorize -funroll-loops -fopenmp,icc,5,20,310533245901,6.271,1200811080,220262
221.008,1372,-O1 -ffast-math -ftree-vectorize -funroll-loops -fopenmp,icc,5,20,309190089139,6.213,1180992204,218003
188.765,2048,-O1 -ffast-math -ftree-vectorize -funroll-loops -fopenmp,icc,5,20,661258188493,10.853,3021706705,596743
188.862,2048,-O1 -ffast-math -ftree-vectorize -funroll-loops -fopenmp,icc,5,20,661655075712,10.850,3021370712,556363
188.739,2048,-O1 -ffast-math -ftree-vectorize -funroll-loops -fopenmp,icc,5,20,661309836057,10.857,3014380856,578498
188.367,2048,-O1 -ffast-math -ftree-vectorize -funroll-loops -fopenmp,icc,5,20,661586396057,10.878,3855457302,560441
188.564,2048,-O1 -ffast-math -ftree-vectorize -funroll-loops -fopenmp,icc,5,20,661666028883,10.867,3066626804,539700
159.556,2916,-O1 -ffast-math -ftree-vectorize -funroll-loops -fopenmp,icc,5,20,1306786211947,18.280,12155791628,454034
159.175,2916,-O1 -ffast-math -ftree-vectorize -funroll-loops -fopenmp,icc,5,20,1307602404829,18.326,12149580343,454793
159.558,2916,-O1 -ffast-math -ftree-vectorize -funroll-loops -fopenmp,icc,5,20,1305650728341,18.282,12697105537,469879
159.483,2916,-O1 -ffast-math -ftree-vectorize -funroll-loops -fopenmp,icc,5,20,1307708027062,18.291,12380517444,461469
159.097,2916,-O1 -ffast-math -ftree-vectorize -funroll-loops -fopenmp,icc,5,20,1305967803086,18.335,12234079307,444036
409.219,1372,-O1 -ffast-math -ftree-vectorize -funroll-loops -fopenmp,clang,5,20,273924639622,3.356,840577798,275401
412.309,1372,-O1 -ffast-math -ftree-vectorize -funroll-loops -fopenmp,clang,5,20,275230688332,3.332,835219879,258833
407.369,1372,-O1 -ffast-math -ftree-vectorize -funroll-loops -fopenmp,clang,5,20,275231374926,3.372,1038563601,240192
391.125,1372,-O1 -ffast-math -ftree-vectorize -funroll-loops -fopenmp,clang,5,20,274134585425,3.512,840421752,327208
392.197,1372,-O1 -ffast-math -ftree-vectorize -funroll-loops -fopenmp,clang,5,20,273235971575,3.503,848353569,270265
341.779,2048,-O1 -ffast-math -ftree-vectorize -funroll-loops -fopenmp,clang,5,20,596931535899,5.996,2540620408,769350
341.874,2048,-O1 -ffast-math -ftree-vectorize -funroll-loops -fopenmp,clang,5,20,595370421595,5.996,2546068940,786829
337.918,2048,-O1 -ffast-math -ftree-vectorize -funroll-loops -fopenmp,clang,5,20,597395316462,6.066,2538908591,827624
343.142,2048,-O1 -ffast-math -ftree-vectorize -funroll-loops -fopenmp,clang,5,20,596395723278,5.974,2384514478,811809
342.780,2048,-O1 -ffast-math -ftree-vectorize -funroll-loops -fopenmp,clang,5,20,596600524833,5.980,2538708953,805780
289.246,2916,-O1 -ffast-math -ftree-vectorize -funroll-loops -fopenmp,clang,5,20,1190295850339,10.086,11988305375,523153
288.387,2916,-O1 -ffast-math -ftree-vectorize -funroll-loops -fopenmp,clang,5,20,1191301570383,10.118,12390280042,474000
289.264,2916,-O1 -ffast-math -ftree-vectorize -funroll-loops -fopenmp,clang,5,20,1191299018860,10.087,11977979063,537321
289.873,2916,-O1 -ffast-math -ftree-vectorize -funroll-loops -fopenmp,clang,5,20,1190726676001,10.066,11983691832,521453
289.301,2916,-O1 -ffast-math -ftree-vectorize -funroll-loops -fopenmp,clang,5,20,1191216191218,10.086,11876384025,487688
401.730,1372,-O1 -ffast-math -ftree-vectorize -funroll-loops -fopenmp,gcc,5,20,429121456377,3.419,881296788,206331
403.129,1372,-O1 -ffast-math -ftree-vectorize -funroll-loops -fopenmp,gcc,5,20,427503171043,3.408,885164942,224729
400.505,1372,-O1 -ffast-math -ftree-vectorize -funroll-loops -fopenmp,gcc,5,20,426831688774,3.430,884509743,229344
403.539,1372,-O1 -ffast-math -ftree-vectorize -funroll-loops -fopenmp,gcc,5,20,427159290660,3.405,886803878,240583
405.760,1372,-O1 -ffast-math -ftree-vectorize -funroll-loops -fopenmp,gcc,5,20,428607727307,3.386,878091304,260363
358.415,2048,-O1 -ffast-math -ftree-vectorize -funroll-loops -fopenmp,gcc,5,20,940650175338,5.718,2707066197,709586
351.781,2048,-O1 -ffast-math -ftree-vectorize -funroll-loops -fopenmp,gcc,5,20,939186523328,5.827,2731868479,677841
350.839,2048,-O1 -ffast-math -ftree-vectorize -funroll-loops -fopenmp,gcc,5,20,937641164341,5.843,2726212176,702372
354.098,2048,-O1 -ffast-math -ftree-vectorize -funroll-loops -fopenmp,gcc,5,20,937412052849,5.789,2715067756,709665
354.451,2048,-O1 -ffast-math -ftree-vectorize -funroll-loops -fopenmp,gcc,5,20,938641470482,5.783,2711414764,704808
309.071,2916,-O1 -ffast-math -ftree-vectorize -funroll-loops -fopenmp,gcc,5,20,1880785743094,9.438,11441907831,938444
307.806,2916,-O1 -ffast-math -ftree-vectorize -funroll-loops -fopenmp,gcc,5,20,1883483736412,9.480,12790040549,936371
309.490,2916,-O1 -ffast-math -ftree-vectorize -funroll-loops -fopenmp,gcc,5,20,1880638716612,9.428,11900173047,929765
307.257,2916,-O1 -ffast-math -ftree-vectorize -funroll-loops -fopenmp,gcc,5,20,1878253311271,9.497,12909777894,1438516
308.225,2916,-O1 -ffast-math -ftree-vectorize -funroll-loops -fopenmp,gcc,5,20,1883035464922,9.467,12236270799,1032654
154.071,1372,-O1 -ffast-math -ftree-vectorize -funroll-loops -fopenmp,icc,5,10,309611432052,8.909,836973909,161750
154.396,1372,-O1 -ffast-math -ftree-vectorize -funroll-loops -fopenmp,icc,5,10,309750074122,8.891,820066573,168122
154.728,1372,-O1 -ffast-math -ftree-vectorize -funroll-loops -fopenmp,icc,5,10,309641277756,8.872,747078053,169599
154.565,1372,-O1 -ffast-math -ftree-vectorize -funroll-loops -fopenmp,icc,5,10,309506901307,8.881,766116946,165620
154.511,1372,-O1 -ffast-math -ftree-vectorize -funroll-loops -fopenmp,icc,5,10,309539178771,8.885,863086469,157943
123.088,2048,-O1 -ffast-math -ftree-vectorize -funroll-loops -fopenmp,icc,5,10,662261765505,16.643,5765413967,602067
124.378,2048,-O1 -ffast-math -ftree-vectorize -funroll-loops -fopenmp,icc,5,10,660693786288,16.472,2448760040,401025
124.633,2048,-O1 -ffast-math -ftree-vectorize -funroll-loops -fopenmp,icc,5,10,661068345037,16.438,2576058239,359299
124.841,2048,-O1 -ffast-math -ftree-vectorize -funroll-loops -fopenmp,icc,5,10,661152254227,16.410,2566773361,373374
124.851,2048,-O1 -ffast-math -ftree-vectorize -funroll-loops -fopenmp,icc,5,10,661831204303,16.409,2549928982,377693
100.782,2916,-O1 -ffast-math -ftree-vectorize -funroll-loops -fopenmp,icc,5,10,1306396954466,28.938,11748375410,380647
100.791,2916,-O1 -ffast-math -ftree-vectorize -funroll-loops -fopenmp,icc,5,10,1306903968684,28.938,11586742160,382012
100.881,2916,-O1 -ffast-math -ftree-vectorize -funroll-loops -fopenmp,icc,5,10,1306456331203,28.912,11612025870,385006
100.527,2916,-O1 -ffast-math -ftree-vectorize -funroll-loops -fopenmp,icc,5,10,1306835770334,29.014,11679373953,388536
100.759,2916,-O1 -ffast-math -ftree-vectorize -funroll-loops -fopenmp,icc,5,10,1305574632432,28.947,11490847187,585168
292.166,1372,-O1 -ffast-math -ftree-vectorize -funroll-loops -fopenmp,clang,5,10,272999112545,4.699,531986206,207882
292.649,1372,-O1 -ffast-math -ftree-vectorize -funroll-loops -fopenmp,clang,5,10,273337224175,4.692,530898538,169828
293.643,1372,-O1 -ffast-math -ftree-vectorize -funroll-loops -fopenmp,clang,5,10,273841483683,4.677,522644207,158166
293.150,1372,-O1 -ffast-math -ftree-vectorize -funroll-loops -fopenmp,clang,5,10,273508809503,4.685,525891937,155363
292.978,1372,-O1 -ffast-math -ftree-vectorize -funroll-loops -fopenmp,clang,5,10,273384197493,4.687,523056632,186279
231.115,2048,-O1 -ffast-math -ftree-vectorize -funroll-loops -fopenmp,clang,5,10,594454265772,8.865,2083479846,339017
230.901,2048,-O1 -ffast-math -ftree-vectorize -funroll-loops -fopenmp,clang,5,10,595025998141,8.874,2072500598,352284
230.345,2048,-O1 -ffast-math -ftree-vectorize -funroll-loops -fopenmp,clang,5,10,594948194521,8.898,2070547753,322336
230.441,2048,-O1 -ffast-math -ftree-vectorize -funroll-loops -fopenmp,clang,5,10,595329315864,8.892,2072807378,351815
231.039,2048,-O1 -ffast-math -ftree-vectorize -funroll-loops -fopenmp,clang,5,10,594833842700,8.869,2073404001,321481
183.688,2916,-O1 -ffast-math -ftree-vectorize -funroll-loops -fopenmp,clang,5,10,1187005608964,15.878,11529768044,363148
183.411,2916,-O1 -ffast-math -ftree-vectorize -funroll-loops -fopenmp,clang,5,10,1187990295869,15.905,11501160008,551185
183.528,2916,-O1 -ffast-math -ftree-vectorize -funroll-loops -fopenmp,clang,5,10,1190884939902,15.897,11505454682,320054
183.488,2916,-O1 -ffast-math -ftree-vectorize -funroll-loops -fopenmp,clang,5,10,1190461302006,15.898,11483220660,334538
183.175,2916,-O1 -ffast-math -ftree-vectorize -funroll-loops -fopenmp,clang,5,10,1191653142544,15.925,11481850448,353973
304.205,1372,-O1 -ffast-math -ftree-vectorize -funroll-loops -fopenmp,gcc,5,10,425784292464,4.513,574927886,159406
305.221,1372,-O1 -ffast-math -ftree-vectorize -funroll-loops -fopenmp,gcc,5,10,426804025620,4.499,574312048,163978
304.067,1372,-O1 -ffast-math -ftree-vectorize -funroll-loops -fopenmp,gcc,5,10,426444183046,4.516,569856904,151809
304.008,1372,-O1 -ffast-math -ftree-vectorize -funroll-loops -fopenmp,gcc,5,10,426550364434,4.517,578517498,148806
305.395,1372,-O1 -ffast-math -ftree-vectorize -funroll-loops -fopenmp,gcc,5,10,426134127715,4.497,579268700,171758
250.467,2048,-O1 -ffast-math -ftree-vectorize -funroll-loops -fopenmp,gcc,5,10,935886907401,8.180,2257978524,341993
249.419,2048,-O1 -ffast-math -ftree-vectorize -funroll-loops -fopenmp,gcc,5,10,936335188696,8.216,2275567704,558878
249.141,2048,-O1 -ffast-math -ftree-vectorize -funroll-loops -fopenmp,gcc,5,10,935617223729,8.225,2248581014,373467
250.462,2048,-O1 -ffast-math -ftree-vectorize -funroll-loops -fopenmp,gcc,5,10,936883545126,8.182,2268042334,356352
250.327,2048,-O1 -ffast-math -ftree-vectorize -funroll-loops -fopenmp,gcc,5,10,935827585861,8.186,2255149612,387298
204.821,2916,-O1 -ffast-math -ftree-vectorize -funroll-loops -fopenmp,gcc,5,10,1879171809712,14.241,11796717123,341261
204.528,2916,-O1 -ffast-math -ftree-vectorize -funroll-loops -fopenmp,gcc,5,10,1879044706257,14.263,11714282322,338140
205.143,2916,-O1 -ffast-math -ftree-vectorize -funroll-loops -fopenmp,gcc,5,10,1880979172777,14.220,11683012009,344825
204.286,2916,-O1 -ffast-math -ftree-vectorize -funroll-loops -fopenmp,gcc,5,10,1880068333889,14.280,10986239550,364969
203.966,2916,-O1 -ffast-math -ftree-vectorize -funroll-loops -fopenmp,gcc,5,10,1878704781210,14.303,11734037152,328065
89.649,1372,-O1 -ffast-math -ftree-vectorize -funroll-loops -fopenmp,icc,5,5,309354863792,15.308,587644360,164032
89.644,1372,-O1 -ffast-math -ftree-vectorize -funroll-loops -fopenmp,icc,5,5,309569862741,15.310,590830810,161185
89.813,1372,-O1 -ffast-math -ftree-vectorize -funroll-loops -fopenmp,icc,5,5,309747887990,15.281,588246833,191992
89.887,1372,-O1 -ffast-math -ftree-vectorize -funroll-loops -fopenmp,icc,5,5,309460714279,15.268,640752744,160087
88.082,1372,-O1 -ffast-math -ftree-vectorize -funroll-loops -fopenmp,icc,5,5,309737146312,15.581,2986334924,258797
71.243,2048,-O1 -ffast-math -ftree-vectorize -funroll-loops -fopenmp,icc,5,5,661528352346,28.751,2229301456,308803
71.218,2048,-O1 -ffast-math -ftree-vectorize -funroll-loops -fopenmp,icc,5,5,661492100630,28.763,2351165448,332590
71.182,2048,-O1 -ffast-math -ftree-vectorize -funroll-loops -fopenmp,icc,5,5,661644254589,28.777,2360816764,323703
71.274,2048,-O1 -ffast-math -ftree-vectorize -funroll-loops -fopenmp,icc,5,5,661581531160,28.740,2353148439,380115
71.010,2048,-O1 -ffast-math -ftree-vectorize -funroll-loops -fopenmp,icc,5,5,661375163675,28.847,2362756677,329143
56.325,2916,-O1 -ffast-math -ftree-vectorize -funroll-loops -fopenmp,icc,5,5,1305487256982,51.777,11231857588,466016
