particulas/s,N,opt,compiler,runs,threads num,GFLOPS,time,l1 misses,dtlb misses
244.859,500,-O1 -ffast-math -ftree-vectorize -funroll-loops -fopenmp,icc,10,20,50176671882,2.045,186474345,113156
247.297,500,-O1 -ffast-math -ftree-vectorize -funroll-loops -fopenmp,icc,10,20,50136254721,2.025,152842521,88211
245.926,500,-O1 -ffast-math -ftree-vectorize -funroll-loops -fopenmp,icc,10,20,50061926790,2.037,154162174,133387
252.223,500,-O1 -ffast-math -ftree-vectorize -funroll-loops -fopenmp,icc,10,20,49791965689,1.986,155622108,113104
236.936,500,-O1 -ffast-math -ftree-vectorize -funroll-loops -fopenmp,icc,10,20,50150252545,2.114,202575098,123483
241.792,500,-O1 -ffast-math -ftree-vectorize -funroll-loops -fopenmp,icc,10,20,50187072077,2.071,158479836,107834
237.883,500,-O1 -ffast-math -ftree-vectorize -funroll-loops -fopenmp,icc,10,20,49981332037,2.105,156604193,135040
206.380,864,-O1 -ffast-math -ftree-vectorize -funroll-loops -fopenmp,icc,5,20,131970473314,4.190,365998513,164850
207.256,864,-O1 -ffast-math -ftree-vectorize -funroll-loops -fopenmp,icc,5,20,131530940859,4.173,352688426,175198
206.654,864,-O1 -ffast-math -ftree-vectorize -funroll-loops -fopenmp,icc,5,20,131647449242,4.185,379601166,167148
202.586,864,-O1 -ffast-math -ftree-vectorize -funroll-loops -fopenmp,icc,5,20,131565412052,4.268,364145212,157776
205.975,864,-O1 -ffast-math -ftree-vectorize -funroll-loops -fopenmp,icc,5,20,131655249550,4.198,517416685,165320
12.394,4,-O1 -ffast-math -ftree-vectorize -funroll-loops -fopenmp,clang,30,20,15174398,0.325,10986280,7026
12.760,4,-O1 -ffast-math -ftree-vectorize -funroll-loops -fopenmp,clang,30,20,15168531,0.316,11735255,7876
10.682,4,-O1 -ffast-math -ftree-vectorize -funroll-loops -fopenmp,clang,30,20,15456113,0.377,11530022,13084
10.764,4,-O1 -ffast-math -ftree-vectorize -funroll-loops -fopenmp,clang,30,20,14913179,0.374,11817898,10417
13.001,4,-O1 -ffast-math -ftree-vectorize -funroll-loops -fopenmp,clang,30,20,15150386,0.310,11155326,7461
16.868,4,-O1 -ffast-math -ftree-vectorize -funroll-loops -fopenmp,clang,30,20,15067449,0.239,11557037,9904
10.646,4,-O1 -ffast-math -ftree-vectorize -funroll-loops -fopenmp,clang,30,20,15345127,0.378,12192452,8396
10.801,4,-O1 -ffast-math -ftree-vectorize -funroll-loops -fopenmp,clang,30,20,14982622,0.373,11383137,11930
16.938,4,-O1 -ffast-math -ftree-vectorize -funroll-loops -fopenmp,clang,30,20,15092370,0.239,10988522,7750
11.547,4,-O1 -ffast-math -ftree-vectorize -funroll-loops -fopenmp,clang,30,20,15461505,0.349,11485342,7890
11.239,4,-O1 -ffast-math -ftree-vectorize -funroll-loops -fopenmp,clang,30,20,15408204,0.358,12732736,12055
