particulas/s,N,opt,compiler,runs,threads num,GFLOPS,time,l1 misses,dtlb misses
206.488,864,-O1 -ffast-math -ftree-vectorize -funroll-loops -fopenmp,icc,5,40,131650922906,4.189,1358385152,205499
206.517,864,-O1 -ffast-math -ftree-vectorize -funroll-loops -fopenmp,icc,5,40,131958885393,4.189,1302271977,198235
156.686,1372,-O1 -ffast-math -ftree-vectorize -funroll-loops -fopenmp,icc,1,40,310150456677,8.761,2209664814,640261
191.722,2048,-O1 -ffast-math -ftree-vectorize -funroll-loops -fopenmp,icc,1,40,661047941569,10.686,4669486166,1092891
172.806,2916,-O1 -ffast-math -ftree-vectorize -funroll-loops -fopenmp,icc,1,40,1306718905443,16.879,13891311362,910204
4.872,4,-O1 -ffast-math -ftree-vectorize -funroll-loops -fopenmp,clang,30,40,21681174,0.825,59808872,40175
6.063,4,-O1 -ffast-math -ftree-vectorize -funroll-loops -fopenmp,clang,30,40,21491853,0.663,75741348,28606
6.923,4,-O1 -ffast-math -ftree-vectorize -funroll-loops -fopenmp,clang,30,40,21498215,0.581,39882793,20677
5.716,4,-O1 -ffast-math -ftree-vectorize -funroll-loops -fopenmp,clang,30,40,21699533,0.704,46709695,33267
4.643,4,-O1 -ffast-math -ftree-vectorize -funroll-loops -fopenmp,clang,30,40,21755689,0.865,124452456,32705
5.597,4,-O1 -ffast-math -ftree-vectorize -funroll-loops -fopenmp,clang,30,40,21651461,0.718,30863600,28801
5.971,4,-O1 -ffast-math -ftree-vectorize -funroll-loops -fopenmp,clang,30,40,21890125,0.674,28337644,35260
5.615,4,-O1 -ffast-math -ftree-vectorize -funroll-loops -fopenmp,clang,30,40,21452885,0.716,28742675,31839
4.512,4,-O1 -ffast-math -ftree-vectorize -funroll-loops -fopenmp,clang,30,40,21252570,0.890,32857324,35916
6.949,4,-O1 -ffast-math -ftree-vectorize -funroll-loops -fopenmp,clang,30,40,21336250,0.579,54461525,25740
6.452,4,-O1 -ffast-math -ftree-vectorize -funroll-loops -fopenmp,clang,30,40,21639982,0.623,27403347,20802
5.884,4,-O1 -ffast-math -ftree-vectorize -funroll-loops -fopenmp,clang,30,40,21377127,0.683,27678046,33429
6.707,4,-O1 -ffast-math -ftree-vectorize -funroll-loops -fopenmp,clang,30,40,21729819,0.599,51227298,26112
5.593,4,-O1 -ffast-math -ftree-vectorize -funroll-loops -fopenmp,clang,30,40,21576200,0.719,91756454,30774
6.673,4,-O1 -ffast-math -ftree-vectorize -funroll-loops -fopenmp,clang,30,40,21418422,0.603,28233352,27689
6.312,4,-O1 -ffast-math -ftree-vectorize -funroll-loops -fopenmp,clang,30,40,21596892,0.637,28440543,25962
7.453,4,-O1 -ffast-math -ftree-vectorize -funroll-loops -fopenmp,clang,30,40,21875778,0.540,26529395,24470
6.489,4,-O1 -ffast-math -ftree-vectorize -funroll-loops -fopenmp,clang,30,40,21723978,0.621,27697066,22290
5.429,4,-O1 -ffast-math -ftree-vectorize -funroll-loops -fopenmp,clang,30,40,21726832,0.740,32854600,25672
7.768,4,-O1 -ffast-math -ftree-vectorize -funroll-loops -fopenmp,clang,30,40,21455897,0.518,25888943,24744
5.174,4,-O1 -ffast-math -ftree-vectorize -funroll-loops -fopenmp,clang,30,40,21638081,0.776,40265341,34472
6.679,4,-O1 -ffast-math -ftree-vectorize -funroll-loops -fopenmp,clang,30,40,21621105,0.602,27903809,34366
6.321,4,-O1 -ffast-math -ftree-vectorize -funroll-loops -fopenmp,clang,30,40,21491599,0.636,27569659,23335
7.375,4,-O1 -ffast-math -ftree-vectorize -funroll-loops -fopenmp,clang,30,40,21764904,0.546,26691907,19324
7.205,4,-O1 -ffast-math -ftree-vectorize -funroll-loops -fopenmp,clang,30,40,21635331,0.558,38896676,27560
9.354,4,-O1 -ffast-math -ftree-vectorize -funroll-loops -fopenmp,clang,30,40,21443064,0.431,25753984,17174
5.914,4,-O1 -ffast-math -ftree-vectorize -funroll-loops -fopenmp,clang,30,40,21555504,0.680,27336187,23044
6.385,4,-O1 -ffast-math -ftree-vectorize -funroll-loops -fopenmp,clang,30,40,21958793,0.630,26033282,23212
8.469,4,-O1 -ffast-math -ftree-vectorize -funroll-loops -fopenmp,clang,30,40,21567545,0.475,47610580,21205
6.534,4,-O1 -ffast-math -ftree-vectorize -funroll-loops -fopenmp,clang,30,40,21530245,0.615,26505171,27185
39.236,32,-O1 -ffast-math -ftree-vectorize -funroll-loops -fopenmp,clang,25,40,485423786,0.819,37889934,42754
40.497,32,-O1 -ffast-math -ftree-vectorize -funroll-loops -fopenmp,clang,25,40,488307318,0.794,57048669,29369
40.458,32,-O1 -ffast-math -ftree-vectorize -funroll-loops -fopenmp,clang,25,40,483151627,0.794,37683333,31603
46.322,32,-O1 -ffast-math -ftree-vectorize -funroll-loops -fopenmp,clang,25,40,489287684,0.694,34644787,28333
43.857,32,-O1 -ffast-math -ftree-vectorize -funroll-loops -fopenmp,clang,25,40,488092210,0.733,35586069,33163
52.556,32,-O1 -ffast-math -ftree-vectorize -funroll-loops -fopenmp,clang,25,40,485088216,0.612,34303079,26882
43.310,32,-O1 -ffast-math -ftree-vectorize -funroll-loops -fopenmp,clang,25,40,486728900,0.742,71810415,30183
47.243,32,-O1 -ffast-math -ftree-vectorize -funroll-loops -fopenmp,clang,25,40,483788404,0.681,35763809,34478
43.685,32,-O1 -ffast-math -ftree-vectorize -funroll-loops -fopenmp,clang,25,40,488272399,0.736,55915350,32697
45.652,32,-O1 -ffast-math -ftree-vectorize -funroll-loops -fopenmp,clang,25,40,492535677,0.705,34379341,29593
