particulas/s,N,opt,compiler,runs,GFLOPS,time,l1 misses,dtlb misses
42.574,108,-O1 -ffast-math -ftree-vectorize -funroll-loops,icc,20,4611583366,2.539,2002510,21122
41.192,108,-O1 -ffast-math -ftree-vectorize -funroll-loops,icc,20,4617360764,2.624,2011229,19186
48.027,108,-O1 -ffast-math -ftree-vectorize -funroll-loops,icc,20,4616290944,2.252,2040039,19963
40.082,256,-O1 -ffast-math -ftree-vectorize -funroll-loops,icc,15,16624644868,6.389,4799402,46230
42.214,256,-O1 -ffast-math -ftree-vectorize -funroll-loops,icc,15,16628776186,6.067,4791640,49544
39.976,256,-O1 -ffast-math -ftree-vectorize -funroll-loops,icc,15,16624240990,6.406,4974290,51346
42.327,256,-O1 -ffast-math -ftree-vectorize -funroll-loops,icc,15,16627756606,6.050,4924566,43175
40.056,256,-O1 -ffast-math -ftree-vectorize -funroll-loops,icc,15,16628541623,6.393,4833658,44617
39.962,256,-O1 -ffast-math -ftree-vectorize -funroll-loops,icc,15,16622215587,6.408,5389580,57026
42.176,256,-O1 -ffast-math -ftree-vectorize -funroll-loops,icc,15,16634658629,6.072,4746450,48437
42.292,256,-O1 -ffast-math -ftree-vectorize -funroll-loops,icc,15,16624557105,6.056,4964187,44381
41.736,256,-O1 -ffast-math -ftree-vectorize -funroll-loops,icc,15,16628886533,6.136,5000003,49190
39.849,256,-O1 -ffast-math -ftree-vectorize -funroll-loops,icc,15,16629016433,6.427,6050500,45511
39.958,256,-O1 -ffast-math -ftree-vectorize -funroll-loops,icc,15,16623994621,6.409,4765307,47146
42.217,256,-O1 -ffast-math -ftree-vectorize -funroll-loops,icc,15,16619152363,6.066,4885380,47148
42.146,256,-O1 -ffast-math -ftree-vectorize -funroll-loops,icc,15,16625021771,6.077,4833196,47988
42.208,256,-O1 -ffast-math -ftree-vectorize -funroll-loops,icc,15,16619433439,6.068,5911158,47347
42.308,256,-O1 -ffast-math -ftree-vectorize -funroll-loops,icc,15,16632118217,6.053,4962369,48807
31.783,500,-O1 -ffast-math -ftree-vectorize -funroll-loops,icc,10,50051747383,15.734,10445718,88906
30.045,500,-O1 -ffast-math -ftree-vectorize -funroll-loops,icc,10,50042155373,16.645,10533183,94030
30.074,500,-O1 -ffast-math -ftree-vectorize -funroll-loops,icc,10,50034379692,16.629,10700751,96455
30.102,500,-O1 -ffast-math -ftree-vectorize -funroll-loops,icc,10,50044730654,16.613,10719739,89300
31.858,500,-O1 -ffast-math -ftree-vectorize -funroll-loops,icc,10,50035074736,15.698,10543332,96802
31.794,500,-O1 -ffast-math -ftree-vectorize -funroll-loops,icc,10,50023700121,15.729,10386859,88342
31.759,500,-O1 -ffast-math -ftree-vectorize -funroll-loops,icc,10,50045852528,15.747,10594592,93173
31.764,500,-O1 -ffast-math -ftree-vectorize -funroll-loops,icc,10,50049940442,15.744,10540305,87933
31.775,500,-O1 -ffast-math -ftree-vectorize -funroll-loops,icc,10,50055851120,15.739,11231794,92764
31.823,500,-O1 -ffast-math -ftree-vectorize -funroll-loops,icc,10,50047575828,15.715,10457211,89744
24.893,864,-O1 -ffast-math -ftree-vectorize -funroll-loops,icc,5,131731475829,34.713,46507534,173746
23.347,864,-O1 -ffast-math -ftree-vectorize -funroll-loops,icc,5,131759086519,37.011,45257016,193270
24.909,864,-O1 -ffast-math -ftree-vectorize -funroll-loops,icc,5,131798237025,34.691,46498227,205046
23.430,864,-O1 -ffast-math -ftree-vectorize -funroll-loops,icc,5,131750696254,36.880,66280256,211942
24.849,864,-O1 -ffast-math -ftree-vectorize -funroll-loops,icc,5,131767393997,34.774,44281212,205115
18.122,1372,-O1 -ffast-math -ftree-vectorize -funroll-loops,icc,1,309626629165,75.717,300510963,388642
15.101,2048,-O1 -ffast-math -ftree-vectorize -funroll-loops,icc,1,661478291982,135.630,1866007425,625283
10.863,2916,-O1 -ffast-math -ftree-vectorize -funroll-loops,icc,1,1306396065274,268.442,10923984375,1276073
448.203,4,-O1 -ffast-math -ftree-vectorize -funroll-loops,clang,30,6459036,0.011,145754,659
482.792,4,-O1 -ffast-math -ftree-vectorize -funroll-loops,clang,30,6702795,0.010,86613,600
769.399,4,-O1 -ffast-math -ftree-vectorize -funroll-loops,clang,30,3193209,0.007,91571,974
758.012,4,-O1 -ffast-math -ftree-vectorize -funroll-loops,clang,30,7534821,0.007,98106,
752.979,4,-O1 -ffast-math -ftree-vectorize -funroll-loops,clang,30,0,0.007,97907,596
761.954,4,-O1 -ffast-math -ftree-vectorize -funroll-loops,clang,30,8133377,0.007,101247,
763.446,4,-O1 -ffast-math -ftree-vectorize -funroll-loops,clang,30,8133061,0.007,112791,
767.840,4,-O1 -ffast-math -ftree-vectorize -funroll-loops,clang,30,0,0.007,97493,570
722.076,4,-O1 -ffast-math -ftree-vectorize -funroll-loops,clang,30,7649193,0.007,269117,
759.859,4,-O1 -ffast-math -ftree-vectorize -funroll-loops,clang,30,0,0.007,96664,527
762.488,4,-O1 -ffast-math -ftree-vectorize -funroll-loops,clang,30,5572967,0.007,89381,1860
768.288,4,-O1 -ffast-math -ftree-vectorize -funroll-loops,clang,30,7892260,0.007,102683,
767.618,4,-O1 -ffast-math -ftree-vectorize -funroll-loops,clang,30,4798096,0.007,91651,1253
758.935,4,-O1 -ffast-math -ftree-vectorize -funroll-loops,clang,30,6832134,0.007,93290,
764.853,4,-O1 -ffast-math -ftree-vectorize -funroll-loops,clang,30,7374509,0.007,96415,
767.558,4,-O1 -ffast-math -ftree-vectorize -funroll-loops,clang,30,8233692,0.007,104755,
763.111,4,-O1 -ffast-math -ftree-vectorize -funroll-loops,clang,30,4559068,0.007,90972,1155
766.545,4,-O1 -ffast-math -ftree-vectorize -funroll-loops,clang,30,7367695,0.007,95310,
763.568,4,-O1 -ffast-math -ftree-vectorize -funroll-loops,clang,30,6825262,0.007,94326,
753.224,4,-O1 -ffast-math -ftree-vectorize -funroll-loops,clang,30,5964674,0.007,90997,2828
607.661,4,-O1 -ffast-math -ftree-vectorize -funroll-loops,clang,30,5085260,0.008,109037,2506
762.708,4,-O1 -ffast-math -ftree-vectorize -funroll-loops,clang,30,5617877,0.007,93245,1403
761.756,4,-O1 -ffast-math -ftree-vectorize -funroll-loops,clang,30,7363310,0.007,97933,
758.696,4,-O1 -ffast-math -ftree-vectorize -funroll-loops,clang,30,2920251,0.007,94725,766
762.580,4,-O1 -ffast-math -ftree-vectorize -funroll-loops,clang,30,7384621,0.007,97407,
768.769,4,-O1 -ffast-math -ftree-vectorize -funroll-loops,clang,30,6112246,0.007,95011,6082
764.415,4,-O1 -ffast-math -ftree-vectorize -funroll-loops,clang,30,7945932,0.007,101539,
754.139,4,-O1 -ffast-math -ftree-vectorize -funroll-loops,clang,30,0,0.007,93994,630
757.591,4,-O1 -ffast-math -ftree-vectorize -funroll-loops,clang,30,7831582,0.007,102290,
765.547,4,-O1 -ffast-math -ftree-vectorize -funroll-loops,clang,30,7849525,0.007,97223,
470.894,32,-O1 -ffast-math -ftree-vectorize -funroll-loops,clang,25,392170323,0.070,579534,2496
489.283,32,-O1 -ffast-math -ftree-vectorize -funroll-loops,clang,25,396096341,0.067,478765,2503
481.471,32,-O1 -ffast-math -ftree-vectorize -funroll-loops,clang,25,387602564,0.068,488324,2510
488.742,32,-O1 -ffast-math -ftree-vectorize -funroll-loops,clang,25,386164612,0.067,480130,2542
481.050,32,-O1 -ffast-math -ftree-vectorize -funroll-loops,clang,25,391029559,0.068,495481,2386
489.079,32,-O1 -ffast-math -ftree-vectorize -funroll-loops,clang,25,393202168,0.067,471975,2492
482.968,32,-O1 -ffast-math -ftree-vectorize -funroll-loops,clang,25,392020786,0.068,500808,3243
487.334,32,-O1 -ffast-math -ftree-vectorize -funroll-loops,clang,25,390747893,0.067,519071,2562
486.504,32,-O1 -ffast-math -ftree-vectorize -funroll-loops,clang,25,385538501,0.067,503628,2326
488.521,32,-O1 -ffast-math -ftree-vectorize -funroll-loops,clang,25,395092021,0.067,531593,2499
488.206,32,-O1 -ffast-math -ftree-vectorize -funroll-loops,clang,25,392635391,0.067,497758,2310
485.891,32,-O1 -ffast-math -ftree-vectorize -funroll-loops,clang,25,390980486,0.067,503363,2399
487.437,32,-O1 -ffast-math -ftree-vectorize -funroll-loops,clang,25,391926863,0.067,514143,2242
488.668,32,-O1 -ffast-math -ftree-vectorize -funroll-loops,clang,25,392626693,0.067,502389,2558
488.177,32,-O1 -ffast-math -ftree-vectorize -funroll-loops,clang,25,392890973,0.067,541061,2858
483.239,32,-O1 -ffast-math -ftree-vectorize -funroll-loops,clang,25,392250498,0.068,505282,2515
488.891,32,-O1 -ffast-math -ftree-vectorize -funroll-loops,clang,25,388788441,0.067,512066,2570
488.780,32,-O1 -ffast-math -ftree-vectorize -funroll-loops,clang,25,385613962,0.067,512334,2374
481.971,32,-O1 -ffast-math -ftree-vectorize -funroll-loops,clang,25,394945888,0.068,534180,2846
483.709,32,-O1 -ffast-math -ftree-vectorize -funroll-loops,clang,25,392519621,0.068,504669,2488
489.122,32,-O1 -ffast-math -ftree-vectorize -funroll-loops,clang,25,392582962,0.067,491555,2357
483.470,32,-O1 -ffast-math -ftree-vectorize -funroll-loops,clang,25,392480658,0.068,492676,2608
489.260,32,-O1 -ffast-math -ftree-vectorize -funroll-loops,clang,25,392770026,0.067,503896,2438
484.161,32,-O1 -ffast-math -ftree-vectorize -funroll-loops,clang,25,392572610,0.068,508564,2476
485.776,32,-O1 -ffast-math -ftree-vectorize -funroll-loops,clang,25,390916076,0.067,512668,2437
244.253,108,-O1 -ffast-math -ftree-vectorize -funroll-loops,clang,20,2970735539,0.444,1700140,12614
